"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","ContractAddress","Value_IN(BNB)","Value_OUT(BNB)","CurrentValue @ $569.500891388171/BNB","TxnFee(BNB)","TxnFee(USD)","Historical $Price/BNB","Status","ErrCode","Method"
"0x6a869b31a91a629b6d9306e2d07a36fc57196d2c042924b5f636804f37719f57","4865953","1613283134","2021-02-14 06:12:14","0xc95063d946242f26074a76c8a2e94c9d735dfc78","0x05ff2b0db69458a0750badebc4f9e13add608c7f","","0","0.4","227.800356555268","0.00126163","0.718499409602058","136.08","","","Swap Exact ETH For Tokens"
"0x8726a0959c360f171235d5985610f152f34c3588351f3f909898bf072a259f28","4866001","1613283278","2021-02-14 06:14:38","0xc95063d946242f26074a76c8a2e94c9d735dfc78","0xd41fdb03ba84762dd66a0af1a6c8540ff1ba5dfb","","0","0","0","0.0004448","0.253313996489458","136.08","","","Approve"
"0x172db78633122169e1d7ab15903f433d32b0ceab583dce7bd2e7762c9647bd62","4878330","1613320265","2021-02-14 16:31:05","0xc95063d946242f26074a76c8a2e94c9d735dfc78","0x05ff2b0db69458a0750badebc4f9e13add608c7f","","0","0","0","0.00035934","0.204644450311425","136.08","Error(0)","execution reverted","Swap Exact Tokens For Tokens"
"0x4ce8a37f2129b63994bff1e1ddd867f19d299310b3e36c46010b74199e149dcc","4878340","1613320295","2021-02-14 16:31:35","0xc95063d946242f26074a76c8a2e94c9d735dfc78","0x05ff2b0db69458a0750badebc4f9e13add608c7f","","0","0","0","0.00178632","1.01731083230452","136.08","","","Swap Exact Tokens For Tokens"
"0xb2dfd4c28c4cd249e021a5d0bfd9b78f9cc480a060e520737ed9079c999bc2c8","4878548","1613320919","2021-02-14 16:41:59","0xc95063d946242f26074a76c8a2e94c9d735dfc78","0x12e34cdf6a031a10fe241864c32fb03a4fdad739","","0","0","0","0.00044364","0.252653375455448","136.08","","","Approve"
"0xb82d42250e00ce779aef947669992ec601ede1f8dcb774dc5aa6e635c6adc229","4881068","1613328479","2021-02-14 18:47:59","0xc95063d946242f26074a76c8a2e94c9d735dfc78","0x73e4e8d010289267dee3d1fc48974b60363963ce","","0","0","0","0.00100192","0.570594333099636","136.08","","","Withdraw"
"0x712067a7a03640139ff0a5cccf89dc3fa29095f634dc1d8b890f488c6e504c76","4881080","1613328515","2021-02-14 18:48:35","0xc95063d946242f26074a76c8a2e94c9d735dfc78","0x73feaa1ee314f8c655e354234017be2193c9e24e","","0","0","0","0.00120265","0.684910247027984","136.08","","","Withdraw"
"0xa51e57a198bd3b54b88f8b22578f8efcdbe5629591ed0952347e68c42850bd71","4881111","1613328608","2021-02-14 18:50:08","0xc95063d946242f26074a76c8a2e94c9d735dfc78","0x05ff2b0db69458a0750badebc4f9e13add608c7f","","0","0","0","0.00197081","1.12237805175672","136.08","","","Remove Liquidity ETH With Permit"
"0xc07d0567a7ac490174a9bcd3703782fae73337192774c7175d5b45e8aacce878","4881665","1613330273","2021-02-14 19:17:53","0xc95063d946242f26074a76c8a2e94c9d735dfc78","0x05ff2b0db69458a0750badebc4f9e13add608c7f","","0","0","0","0.00149733","0.85273076970225","136.08","","","Swap Exact Tokens For Tokens"
"0xe9a4c09f37dc2822e0b49ce15e39c9dbbba0e4cc45d691a03cd5a8afba618542","4882572","1613332994","2021-02-14 20:03:14","0xc95063d946242f26074a76c8a2e94c9d735dfc78","0x05ff2b0db69458a0750badebc4f9e13add608c7f","","0","0","0","0.00178203","1.01486767348046","136.08","","","Swap Exact Tokens For Tokens"
"0xd2f0c53d583155db4fbb33b19c3501e46ff2f7722438e7de92bbc1f19fd3b38d","4884449","1613338625","2021-02-14 21:37:05","0xc95063d946242f26074a76c8a2e94c9d735dfc78","0x1233b9f706cb9028a03b61af125cf1fe840cdbd3","","0","0","0","0.00251904","1.43459552544246","136.08","","","Mint"
"0x1a70d0efa8beab12d2bf64c283ae9882699b78346689fa3f382b61fd699a034b","4885242","1613341004","2021-02-14 22:16:44","0xc95063d946242f26074a76c8a2e94c9d735dfc78","0x05ff2b0db69458a0750badebc4f9e13add608c7f","","0","0","0","0.00187158","1.06586647830427","136.08","","","Add Liquidity"
"0xf959a200d257772d32772185dd608bdcbcd37e5af2cd8432bf62de41393413b5","4885591","1613342052","2021-02-14 22:34:12","0xc95063d946242f26074a76c8a2e94c9d735dfc78","","0x07ed082b231e8ad8d6c69e33d4b2579cfde107ec","0","0","0","0.0098239","5.59471980690825","136.08","","","0x60806040"
"0xb2c37e78d38632b057f46b8c0ecab89b0e23056f5dd4a0b99338264118475846","4885617","1613342130","2021-02-14 22:35:30","0xc95063d946242f26074a76c8a2e94c9d735dfc78","0x05ff2b0db69458a0750badebc4f9e13add608c7f","","0","0","0","0.00114298","0.650928128838852","136.08","","","Swap Exact Tokens For ETH"
"0x9f91b11e621f07b69bea84b04812b42e5681610401c09a64be064be62ecff3b9","4885653","1613342238","2021-02-14 22:37:18","0xc95063d946242f26074a76c8a2e94c9d735dfc78","0x07ed082b231e8ad8d6c69e33d4b2579cfde107ec","","0","0","0","0.00044406","0.252892565829831","136.08","","","Approve"
"0xc7de01fa5a1efead351c6d28cf47b9305f11117393e7a3a6f8ef196929c3553f","4885667","1613342280","2021-02-14 22:38:00","0xc95063d946242f26074a76c8a2e94c9d735dfc78","0x05ff2b0db69458a0750badebc4f9e13add608c7f","","0","2","1139.00178277634","0.02203297","12.5477960549288","136.08","","","Add Liquidity ETH"
"0x2457ecffc83824807bba0c0cab29e3ec238fa065a736d4991817cf962159d9cf","4885737","1613342490","2021-02-14 22:41:30","0xc95063d946242f26074a76c8a2e94c9d735dfc78","0x05ff2b0db69458a0750badebc4f9e13add608c7f","","0","0.106107797075436837","60.4284850176964","0.00149078","0.849000538863658","136.08","","","Swap ETH For Exact Tokens"
"0xaf95c52d2b2e406843aba2fd765221f79c80cfb834d66ab89fe99614c8f11dbe","4886004","1613343292","2021-02-14 22:54:52","0xc95063d946242f26074a76c8a2e94c9d735dfc78","0x05ff2b0db69458a0750badebc4f9e13add608c7f","","0","0","0","0.00114641","0.652881516896313","136.08","","","Swap Exact Tokens For ETH"
"0xd1fa8a3207a86c33b05d4cb1b67b0775e57e15769aa63c0308e6b3111787e47c","4886033","1613343379","2021-02-14 22:56:19","0xc95063d946242f26074a76c8a2e94c9d735dfc78","0x05ff2b0db69458a0750badebc4f9e13add608c7f","","0","0.4","227.800356555268","0.00191799","1.0922970146736","136.08","","","Add Liquidity ETH"
